dataReferencia,sexo,idade,area,campus,faixaEtaria,voluntarioId
2025-10-01,M,55.0,MM FOTOGRAFIA,EKLEKTOS,ENTRE 55 E 60 ANOS,edc949d3426e18758ec8f2429520c05a
2025-10-01,F,24.0,MM FOTOGRAFIA,EKLEKTOS,ENTRE 20 E 25 ANOS,c47a1aeee7c18ad0d4d00fdf6a9cd3f6
2025-10-01,M,29.0,MM FOTOGRAFIA,VOX,ENTRE 25 E 30 ANOS,32d140bb79362cda8a051132d1211f8f
2025-10-01,F,27.0,MM LIVE STREAMING,DOMINGO,ENTRE 25 E 30 ANOS,2e7374774dd61ee0748d55825e0cd044
2025-10-01,M,39.0,MM LIVE STREAMING,DOMINGO,ENTRE 35 E 40 ANOS,400fcc59d9665808cff281cdc33d3ca6
2025-10-01,M,27.0,MM LIVE STREAMING,DOMINGO,ENTRE 25 E 30 ANOS,0363860238e92c56ec5d312a0ae45eb3
2025-10-01,F,28.0,MM LIVE STREAMING,DOMINGO,ENTRE 25 E 30 ANOS,4ca2bd523200d2e33aff6eac5c92e134
2025-10-01,F,25.0,MM LIVE STREAMING,DOMINGO,ENTRE 25 E 30 ANOS,b633cedb432e6cc49927ed476c5cfde7
2025-10-01,F,32.0,MM LIVE STREAMING,DOMINGO,ENTRE 30 E 35 ANOS,c74093a58ae3c0890d8ab41bdd246767
2025-10-01,M,24.0,MM LIVE STREAMING,DOMINGO,ENTRE 20 E 25 ANOS,c98f7b6620bde3ca7df5a4b88bf7293b
2025-10-01,F,28.0,MM LIVE STREAMING,DOMINGO,ENTRE 25 E 30 ANOS,ac46de7ed5268e85ebec13770ea562c3
2025-10-01,F,25.0,MM LIVE STREAMING,DOMINGO,ENTRE 25 E 30 ANOS,bae4230d4bbff8b278993dcee7df0382
2025-10-01,F,31.0,MM LIVE STREAMING,DOMINGO,ENTRE 30 E 35 ANOS,eebd9dc52c3594a5a3f5d1b6a855bd39
2025-10-01,F,21.0,MM LIVE STREAMING,EKLEKTOS,ENTRE 20 E 25 ANOS,f653f463486dec3cb923f9da2323a876
